ID_звонка,Тип_звонка,Реальная_оценка,Предсказанная_оценка,Ошибка,Абсолютная_ошибка
315,REGULAR,0.0,3.97,-3.97,3.97
364,AUDIO_BADGE,0.63,4.24,-3.61,3.61
968,AUDIO_BADGE,1.38,4.57,-3.19,3.19
244,REGULAR,1.0,3.98,-2.98,2.98
231,AUDIO_BADGE,8.0,5.16,2.84,2.84
272,AUDIO_BADGE,6.0,3.28,2.72,2.72
761,REGULAR,8.75,6.05,2.7,2.7
429,REGULAR,5.0,2.52,2.48,2.48
310,REGULAR,6.67,4.33,2.34,2.34
273,AUDIO_BADGE,1.0,3.32,-2.32,2.32
124,REGULAR,9.0,6.69,2.31,2.31
245,REGULAR,2.67,4.92,-2.25,2.25
591,AUDIO_BADGE,2.63,4.87,-2.24,2.24
195,AUDIO_BADGE,8.0,5.82,2.18,2.18
62,REGULAR,2.67,4.81,-2.14,2.14
678,AUDIO_BADGE,6.13,4.0,2.13,2.13
194,AUDIO_BADGE,8.0,5.88,2.12,2.12
85,REGULAR,0.0,2.06,-2.06,2.06
373,AUDIO_BADGE,7.75,5.69,2.06,2.06
43,REGULAR,1.33,3.36,-2.03,2.03
497,REGULAR,8.0,5.99,2.01,2.01
193,AUDIO_BADGE,8.0,6.0,2.0,2.0
469,REGULAR,8.33,6.43,1.9,1.9
253,REGULAR,1.67,3.56,-1.89,1.89
199,AUDIO_BADGE,6.0,4.11,1.89,1.89
19,REGULAR,4.33,6.2,-1.87,1.87
679,AUDIO_BADGE,1.5,3.32,-1.82,1.82
673,AUDIO_BADGE,2.13,3.92,-1.79,1.79
162,AUDIO_BADGE,8.0,6.24,1.76,1.76
617,REGULAR,2.67,4.43,-1.76,1.76
780,REGULAR,3.0,4.71,-1.71,1.71
974,AUDIO_BADGE,3.5,5.2,-1.7,1.7
480,REGULAR,6.0,4.34,1.66,1.66
94,REGULAR,2.33,3.98,-1.65,1.65
352,AUDIO_BADGE,1.63,3.27,-1.64,1.64
923,REGULAR,6.25,4.63,1.62,1.62
515,REGULAR,7.67,6.06,1.61,1.61
881,REGULAR,6.0,4.4,1.6,1.6
608,REGULAR,5.0,6.57,-1.57,1.57
663,AUDIO_BADGE,1.75,3.27,-1.52,1.52
714,AUDIO_BADGE,2.63,4.11,-1.48,1.48
787,REGULAR,4.25,5.73,-1.48,1.48
12,REGULAR,4.67,6.14,-1.47,1.47
66,AUDIO_BADGE,8.0,6.56,1.44,1.44
588,AUDIO_BADGE,4.0,5.44,-1.44,1.44
624,REGULAR,6.33,4.91,1.42,1.42
189,AUDIO_BADGE,6.0,4.59,1.41,1.41
191,AUDIO_BADGE,6.0,4.64,1.36,1.36
630,REGULAR,8.33,6.97,1.36,1.36
575,AUDIO_BADGE,6.63,5.27,1.36,1.36
860,AUDIO_BADGE,3.63,4.97,-1.34,1.34
491,REGULAR,7.33,6.0,1.33,1.33
649,REGULAR,3.0,4.28,-1.28,1.28
998,AUDIO_BADGE,4.0,5.26,-1.26,1.26
992,AUDIO_BADGE,4.5,5.75,-1.25,1.25
36,REGULAR,3.33,4.58,-1.25,1.25
230,AUDIO_BADGE,0.0,1.23,-1.23,1.23
719,AUDIO_BADGE,5.88,4.66,1.22,1.22
378,AUDIO_BADGE,4.63,3.41,1.22,1.22
938,REGULAR,6.25,5.07,1.18,1.18
439,REGULAR,6.0,4.82,1.18,1.18
300,REGULAR,8.0,6.82,1.18,1.18
44,REGULAR,4.67,5.82,-1.15,1.15
106,REGULAR,6.0,7.11,-1.11,1.11
636,REGULAR,0.33,1.43,-1.1,1.1
959,AUDIO_BADGE,1.88,2.95,-1.07,1.07
240,REGULAR,5.0,6.06,-1.06,1.06
393,AUDIO_BADGE,5.25,6.29,-1.04,1.04
392,AUDIO_BADGE,4.75,5.79,-1.04,1.04
582,AUDIO_BADGE,3.88,4.9,-1.02,1.02
965,AUDIO_BADGE,2.0,3.01,-1.01,1.01
866,AUDIO_BADGE,4.63,3.62,1.01,1.01
710,AUDIO_BADGE,5.88,4.89,0.99,0.99
333,AUDIO_BADGE,2.63,3.61,-0.98,0.98
665,AUDIO_BADGE,5.63,4.65,0.98,0.98
103,REGULAR,1.0,0.03,0.97,0.97
395,AUDIO_BADGE,3.75,4.71,-0.96,0.96
766,REGULAR,7.5,6.58,0.92,0.92
990,AUDIO_BADGE,5.13,6.03,-0.9,0.9
922,REGULAR,5.5,6.39,-0.89,0.89
470,REGULAR,7.33,6.46,0.87,0.87
569,AUDIO_BADGE,3.13,3.98,-0.85,0.85
631,REGULAR,8.0,7.16,0.84,0.84
701,AUDIO_BADGE,5.63,4.8,0.83,0.83
16,REGULAR,6.0,6.83,-0.83,0.83
1009,AUDIO_BADGE,5.13,5.94,-0.81,0.81
746,REGULAR,7.75,6.94,0.81,0.81
212,AUDIO_BADGE,6.0,5.2,0.8,0.8
553,AUDIO_BADGE,4.88,5.67,-0.79,0.79
465,REGULAR,6.67,5.88,0.79,0.79
154,AUDIO_BADGE,6.0,5.22,0.78,0.78
